timestamp;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;T_BOILER100;T_BOILER200;T_IN;Sinal_Vazao1
2025-05-11 22:29:58;20.46;25.36;25.41;25.73;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:01;27.24;23.68;24.85;25.71;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:03;28.66;23.69;25.62;25.7;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:07;26.46;23.19;24.59;25.71;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:09;28.58;23.05;24.56;25.66;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:13;28.81;23.73;24.87;25.41;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:17;23.66;25.73;25.38;25.01;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:21;23.18;24.35;25.51;25.01;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:23;27.9;24.26;24.9;24.95;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:26;21.14;24.5;25.56;25.91;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:29;25.77;23.84;24.7;25.69;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:32;20.2;24.71;25.6;25.91;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:34;25.9;23.44;24.9;24.98;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:37;22.27;23.87;25.3;25.08;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:40;23.76;25.93;24.77;25.05;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:44;20.72;24.13;25.63;25.63;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:47;22.39;23.78;25.52;25.68;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:50;30.03;23.6;24.74;25.22;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:52;23.24;25.96;25.36;24.86;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:55;22.17;25.74;25.21;25.3;-100.0;-100.0;-100.0;1.0
2025-05-11 22:30:58;21.36;25.92;25.46;25.4;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:00;20.76;24.73;25.57;25.12;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:05;25.86;25.64;25.63;25.42;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:08;24.19;26.0;25.45;25.47;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:11;22.97;23.8;25.44;25.24;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:14;22.77;23.98;25.36;25.43;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:16;27.12;23.58;25.27;25.31;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:19;29.19;24.41;25.01;25.06;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:22;23.32;24.52;25.4;25.68;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:24;28.87;24.83;25.26;25.08;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:28;21.55;23.82;25.5;25.58;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:30;24.33;23.42;24.78;25.51;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:34;24.9;25.63;25.38;25.32;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:38;28.47;23.92;24.98;25.29;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:40;29.62;23.22;24.66;25.4;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:43;22.36;23.97;25.44;25.44;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:46;29.84;23.96;24.63;24.84;-100.0;-100.0;-100.0;1.0
2025-05-11 22:31:48;25.91;24.52;25.41;25.67;-100.0;-100.0;-100.0;1.0
