timeStamp;T_MF4_IN_sd;T_MF4_IN_sh;T_MF4_OUT_sd;T_MF4_OUT_sh;T_MM2_IN_sd;T_MM2_IN_sh;T_MM2_OUT_sd;T_MM2_OUT_sh;T_BOILER100_sd;T_BOILER100_sh;T_BOILER200_sd;T_BOILER200_sh;T_IN_sd;T_IN_sh
2025-04-10 17:25:28;26.7;22.64;26.0;33.67;26.9;29.19;28.2;32.4;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 17:25:30;26.1;18.56;27.8;26.14;26.5;33.18;27.6;30.45;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 17:25:32;26.9;21.34;25.8;30.99;26.7;29.24;27.8;31.12;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 17:25:34;27.0;35.66;25.7;26.15;26.6;32.63;28.2;30.72;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 17:25:36;28.8;28.02;25.6;27.13;26.4;32.47;28.0;30.66;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 17:25:39;26.0;20.77;26.4;32.29;26.9;28.83;28.0;31.99;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:02:50;24.8;31.48;26.0;35.56;26.1;28.83;26.5;32.2;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:02:54;27.3;27.36;26.1;23.53;26.3;32.89;26.7;31.28;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:02:58;26.7;30.74;26.2;27.02;26.2;35.17;26.6;29.83;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:03:02;25.8;29.18;25.9;35.09;26.7;28.81;26.4;32.39;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:03:06;25.6;20.97;26.2;24.69;25.9;35.1;26.6;30.55;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:03:10;26.8;18.18;25.0;30.53;26.4;31.26;27.1;33.45;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:03:15;25.8;25.56;25.7;27.93;27.2;35.41;26.4;33.92;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-04-10 18:03:18;30.1;40.7;24.4;31.28;26.4;30.02;27.3;34.93;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
