timestamp;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;T_BOILER100;T_BOILER200;T_IN;Sinal_Vazao1
2025-04-10 17:25:28;22.64;33.67;29.19;32.4;-100.0;-100.0;-100.0;1.0
2025-04-10 17:25:30;18.56;26.14;33.18;30.45;-100.0;-100.0;-100.0;1.0
2025-04-10 17:25:32;21.34;30.99;29.24;31.12;-100.0;-100.0;-100.0;1.0
2025-04-10 17:25:34;35.66;26.15;32.63;30.72;-100.0;-100.0;-100.0;1.0
2025-04-10 17:25:36;28.02;27.13;32.47;30.66;-100.0;-100.0;-100.0;1.0
2025-04-10 17:25:39;20.77;32.29;28.83;31.99;-100.0;-100.0;-100.0;1.0
2025-04-10 18:02:50;31.48;35.56;28.83;32.2;-100.0;-100.0;-100.0;1.0
2025-04-10 18:02:54;27.36;23.53;32.89;31.28;-100.0;-100.0;-100.0;1.0
2025-04-10 18:02:58;30.74;27.02;35.17;29.83;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:02;29.18;35.09;28.81;32.39;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:06;20.97;24.69;35.1;30.55;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:10;18.18;30.53;31.26;33.45;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:15;25.56;27.93;35.41;33.92;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:18;40.7;31.28;30.02;34.93;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:23;36.01;24.25;33.37;31.4;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:26;41.12;29.49;30.62;34.17;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:30;34.16;34.67;28.79;32.41;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:34;34.46;32.21;29.14;33.14;-100.0;-100.0;-100.0;1.0
2025-04-10 18:03:39;21.24;27.76;34.73;30.68;-100.0;-100.0;-100.0;1.0
2025-04-10 18:04:03;27.83;28.15;33.04;31.22;-100.0;-100.0;-100.0;1.0
2025-04-10 18:04:08;46.04;26.72;32.23;31.95;-100.0;-100.0;-100.0;1.0
2025-04-10 18:04:12;34.93;26.75;34.54;30.71;-100.0;-100.0;-100.0;1.0
2025-04-10 18:04:16;34.57;22.66;32.82;31.56;-100.0;-100.0;-100.0;1.0
2025-04-10 18:04:20;19.66;24.23;33.6;31.52;-100.0;-100.0;-100.0;1.0
2025-04-10 18:04:25;35.44;35.34;30.15;31.81;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:10;24.4;34.14;30.63;31.7;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:14;16.01;26.08;31.29;32.75;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:18;44.23;24.95;33.29;31.35;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:22;39.58;23.71;32.37;32.14;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:27;15.96;30.26;32.16;33.51;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:30;33.59;23.36;32.95;32.04;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:35;29.3;30.15;34.27;32.91;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:38;27.14;25.28;32.06;32.54;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:42;31.8;34.19;30.25;32.96;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:46;26.58;29.26;32.29;31.22;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:50;17.68;25.78;33.29;31.79;-100.0;-100.0;-100.0;1.0
2025-04-10 18:10:53;27.57;27.88;33.79;30.95;-100.0;-100.0;-100.0;1.0
