timestamp;T_BOILER100;T_BOILER200;T_IN;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;Sinal_vazao1
2025-05-20 22:47:40;-100.0;-100.0;-100.0;28.49;25.61;27.45;27.34;0.0
2025-05-20 22:47:42;-100.0;-100.0;-100.0;25.55;25.58;26.53;27.43;0.0
2025-05-20 22:47:44;-100.0;-100.0;-100.0;19.57;27.31;27.34;26.79;0.0
2025-05-20 22:51:06;-100.0;-100.0;-100.0;29.35;26.31;26.74;26.76;0.0
2025-05-20 22:54:20;-100.0;-100.0;-100.0;28.67;26.34;26.74;27.09;0.0
2025-05-20 22:54:26;-100.0;-100.0;-100.0;22.49;25.94;26.68;26.66;0.0
2025-05-20 22:56:52;-100.0;-100.0;-100.0;22.0;25.54;27.38;27.15;0.0
2025-05-20 22:58:41;-100.0;-100.0;-100.0;27.61;25.85;26.98;26.88;0.0
2025-05-20 22:58:47;-100.0;-100.0;-100.0;22.01;26.92;27.44;27.2;0.0
2025-05-20 22:59:01;-100.0;-100.0;-100.0;21.37;27.14;27.52;26.58;0.0
2025-05-20 22:59:04;-100.0;-100.0;-100.0;27.41;25.46;27.61;27.35;0.0
2025-05-20 22:59:12;-100.0;-100.0;-100.0;29.36;25.6;26.67;26.85;0.0
2025-05-20 23:00:03;-100.0;-100.0;-100.0;29.41;25.57;26.69;26.83;0.0
2025-05-20 23:00:07;-100.0;-100.0;-100.0;20.83;25.08;27.5;27.28;0.0
2025-05-20 23:00:43;-100.0;-100.0;-100.0;27.83;25.4;27.06;27.2;0.0
2025-05-20 23:00:47;-100.0;-100.0;-100.0;19.68;27.32;27.4;26.61;0.0
2025-05-20 23:01:24;-100.0;-100.0;-100.0;29.36;25.93;26.69;27.12;0.0
2025-05-20 23:01:52;-100.0;-100.0;-100.0;21.52;25.44;27.47;26.71;0.0
2025-05-20 23:01:53;-100.0;-100.0;-100.0;19.92;25.32;27.62;27.35;0.0
2025-05-20 23:02:29;-100.0;-100.0;-100.0;24.35;26.53;27.38;26.68;0.0
2025-05-20 23:02:33;-100.0;-100.0;-100.0;26.0;25.39;26.36;27.35;0.0
2025-05-20 23:02:39;-100.0;-100.0;-100.0;20.69;25.5;27.51;27.23;0.0
2025-05-20 23:02:54;-100.0;-100.0;-100.0;28.63;25.43;26.78;27.03;0.0
2025-05-20 23:03:49;-100.0;-100.0;-100.0;21.24;25.47;27.59;26.69;0.0
2025-05-20 23:04:34;-100.0;-100.0;-100.0;29.46;25.51;26.71;26.91;0.0
2025-05-20 23:04:46;-100.0;-100.0;-100.0;26.38;25.93;27.03;26.98;0.0
2025-05-20 23:04:48;-100.0;-100.0;-100.0;22.39;25.44;26.82;27.22;0.0
2025-05-20 23:05:04;-100.0;-100.0;-100.0;21.82;25.25;27.37;27.34;0.0
2025-05-20 23:05:05;-100.0;-100.0;-100.0;20.46;25.49;27.65;27.18;0.0
2025-05-20 23:05:30;-100.0;-100.0;-100.0;26.68;25.89;27.01;26.96;0.0
2025-05-20 23:05:40;-100.0;-100.0;-100.0;21.47;25.47;27.42;26.77;0.0
2025-05-20 23:06:52;-100.0;-100.0;-100.0;20.89;25.77;27.61;26.59;0.0
2025-05-20 23:08:30;-100.0;-100.0;-100.0;27.31;26.02;26.8;26.83;0.0
2025-05-20 23:09:10;-100.0;-100.0;-100.0;26.63;25.2;26.74;27.41;0.0
2025-05-20 23:11:52;-100.0;-100.0;-100.0;28.72;26.23;26.64;26.65;0.0
2025-05-20 23:13:34;-100.0;-100.0;-100.0;21.72;26.43;27.17;26.58;0.0
2025-05-20 23:16:52;-100.0;-100.0;-100.0;27.53;25.0;26.47;27.54;0.0
2025-05-20 23:19:48;-100.0;-100.0;-100.0;22.26;25.36;27.4;26.78;0.0
2025-05-20 23:21:32;-100.0;-100.0;-100.0;28.21;25.56;26.84;26.91;0.0
2025-05-20 23:21:33;-100.0;-100.0;-100.0;22.31;25.74;26.85;26.72;0.0
2025-05-20 23:21:37;-100.0;-100.0;-100.0;19.22;27.33;27.44;26.71;0.0
2025-05-20 23:25:23;-100.0;-100.0;-100.0;21.12;25.59;27.47;26.63;0.0
2025-05-20 23:26:52;-100.0;-100.0;-100.0;20.01;25.33;27.69;26.93;0.0
2025-05-20 23:27:28;-100.0;-100.0;-100.0;19.91;25.27;27.71;27.43;0.0
2025-05-20 23:29:50;-100.0;-100.0;-100.0;21.1;26.07;26.67;26.58;0.0
2025-05-20 23:29:51;-100.0;-100.0;-100.0;21.13;25.09;27.49;27.41;0.0
2025-05-20 23:29:53;-100.0;-100.0;-100.0;22.41;25.76;26.9;27.21;0.0
2025-05-20 23:31:52;-100.0;-100.0;-100.0;29.08;25.49;27.09;27.08;0.0
2025-05-20 23:34:20;-100.0;-100.0;-100.0;26.16;25.25;26.69;27.51;0.0
2025-05-20 23:36:52;-100.0;-100.0;-100.0;21.78;25.11;27.39;27.27;0.0
2025-05-20 23:41:36;-100.0;-100.0;-100.0;24.58;26.44;27.49;26.67;0.0
2025-05-20 23:46:52;-100.0;-100.0;-100.0;25.89;26.13;26.77;26.52;0.0
2025-05-20 23:49:59;-100.0;-100.0;-100.0;25.34;25.81;27.23;26.85;0.0
2025-05-20 23:51:52;-100.0;-100.0;-100.0;27.94;25.41;26.93;26.78;0.0
