timestamp;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;T_BOILER100;T_BOILER200;T_IN
2025-05-20 22:47:00;28.27;26.29;26.48;27.31;-100.0;-100.0;-100.0
2025-05-20 22:47:01;28.08;25.39;26.73;27.46;-100.0;-100.0;-100.0
2025-05-20 22:47:02;21.77;27.21;27.3;26.7;-100.0;-100.0;-100.0
2025-05-20 22:47:03;18.9;26.56;27.06;27.14;-100.0;-100.0;-100.0
2025-05-20 22:47:04;29.62;25.39;26.66;26.99;-100.0;-100.0;-100.0
2025-05-20 22:47:05;20.94;25.66;27.48;27.05;-100.0;-100.0;-100.0
2025-05-20 22:47:06;27.15;26.02;26.45;26.85;-100.0;-100.0;-100.0
2025-05-20 22:47:07;28.41;25.45;26.56;27.21;-100.0;-100.0;-100.0
2025-05-20 22:47:08;20.49;26.86;27.24;26.77;-100.0;-100.0;-100.0
2025-05-20 22:47:09;21.3;26.74;27.09;26.94;-100.0;-100.0;-100.0
2025-05-20 22:47:10;28.99;25.5;26.73;27.19;-100.0;-100.0;-100.0
2025-05-20 22:47:11;24.13;26.64;27.34;26.74;-100.0;-100.0;-100.0
2025-05-20 22:47:12;22.59;25.95;26.8;27.26;-100.0;-100.0;-100.0
2025-05-20 22:47:13;24.91;26.18;27.32;27.56;-100.0;-100.0;-100.0
2025-05-20 22:47:14;21.28;27.14;27.52;26.66;-100.0;-100.0;-100.0
2025-05-20 22:47:15;19.96;26.63;27.12;27.06;-100.0;-100.0;-100.0
2025-05-20 22:47:16;28.39;25.39;26.57;27.3;-100.0;-100.0;-100.0
2025-05-20 22:47:17;21.09;25.18;27.47;27.29;-100.0;-100.0;-100.0
2025-05-20 22:47:18;21.41;26.75;26.6;26.51;-100.0;-100.0;-100.0
2025-05-20 22:47:19;24.39;25.78;26.55;27.36;-100.0;-100.0;-100.0
2025-05-20 22:47:20;25.4;26.25;27.28;26.9;-100.0;-100.0;-100.0
2025-05-20 22:47:21;20.82;27.18;27.53;26.64;-100.0;-100.0;-100.0
2025-05-20 22:47:22;24.85;25.34;26.42;26.97;-100.0;-100.0;-100.0
2025-05-20 22:47:23;20.99;26.15;27.16;27.16;-100.0;-100.0;-100.0
2025-05-20 22:47:24;21.57;26.85;26.76;27.07;-100.0;-100.0;-100.0
2025-05-20 22:47:25;29.26;26.35;26.69;26.54;-100.0;-100.0;-100.0
2025-05-20 22:47:26;22.77;25.93;26.71;27.32;-100.0;-100.0;-100.0
2025-05-20 22:47:27;26.23;25.99;27.03;26.98;-100.0;-100.0;-100.0
2025-05-20 22:47:28;20.88;25.73;27.4;27.07;-100.0;-100.0;-100.0
2025-05-20 22:47:29;23.28;25.47;26.57;26.81;-100.0;-100.0;-100.0
2025-05-20 22:47:30;26.75;25.55;26.41;27.33;-100.0;-100.0;-100.0
2025-05-20 22:47:31;20.73;27.04;26.79;26.88;-100.0;-100.0;-100.0
2025-05-20 22:47:32;28.91;26.56;26.65;26.52;-100.0;-100.0;-100.0
2025-05-20 22:47:33;20.49;25.79;26.62;27.37;-100.0;-100.0;-100.0
2025-05-20 22:47:34;25.68;26.21;27.24;26.95;-100.0;-100.0;-100.0
2025-05-20 22:47:35;21.35;25.92;27.09;27.14;-100.0;-100.0;-100.0
2025-05-20 22:47:36;27.09;25.11;26.4;27.27;-100.0;-100.0;-100.0
2025-05-20 22:47:37;21.51;25.63;26.77;27.01;-100.0;-100.0;-100.0
2025-05-20 22:47:38;27.73;25.93;26.62;26.73;-100.0;-100.0;-100.0
2025-05-20 22:47:39;20.91;25.95;27.2;27.19;-100.0;-100.0;-100.0
