timeStamp;T_MF4_IN_sd;T_MF4_IN_sh;T_MF4_OUT_sd;T_MF4_OUT_sh;T_MM2_IN_sd;T_MM2_IN_sh;T_MM2_OUT_sd;T_MM2_OUT_sh;T_BOILER100_sd;T_BOILER100_sh;T_BOILER200_sd;T_BOILER200_sh;T_IN_sd;T_IN_sh
2025-05-20 22:47:00;22.49;28.27;26.3;26.29;26.79;26.48;26.77;27.31;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:01;20.67;28.08;25.57;25.39;27.48;26.73;26.89;27.46;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:02;24.09;21.77;25.85;27.21;26.79;27.3;26.71;26.7;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:03;25.56;18.9;25.49;26.56;26.64;27.06;27.53;27.14;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:04;29.62;29.62;25.4;25.39;26.67;26.66;27.14;26.99;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:05;20.94;20.94;25.66;25.66;27.48;27.48;27.05;27.05;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:06;27.15;27.15;26.02;26.02;26.45;26.45;26.86;26.85;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:07;21.08;28.41;25.58;25.45;27.46;26.56;26.63;27.21;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:08;22.46;20.49;25.51;26.86;26.7;27.24;27.27;26.77;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:09;27.69;21.3;25.57;26.74;26.41;27.09;27.34;26.94;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:10;28.99;28.99;25.51;25.5;26.74;26.73;27.2;27.19;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:11;21.6;24.13;26.38;26.64;26.72;27.34;26.55;26.74;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:12;19.65;22.59;26.2;25.95;26.81;26.8;27.26;27.26;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:13;24.92;24.91;26.18;26.18;27.33;27.32;26.99;27.56;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:14;21.28;21.28;25.89;27.14;27.1;27.52;27.2;26.66;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:15;25.14;19.96;25.33;26.63;26.42;27.12;27.57;27.06;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:16;28.4;28.39;25.39;25.39;26.58;26.57;27.3;27.3;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:17;20.46;21.09;25.76;25.18;26.7;27.47;26.81;27.29;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:18;21.41;21.41;26.75;26.75;27.09;26.6;26.51;26.51;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:19;20.72;24.39;25.61;25.78;27.37;26.55;27.43;27.36;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:20;25.4;25.4;26.26;26.25;27.29;27.28;26.91;26.9;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:21;21.25;20.82;25.94;27.18;27.16;27.53;27.11;26.64;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:22;26.97;24.85;25.34;25.34;26.42;26.42;27.51;26.97;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:23;25.52;20.99;26.46;26.15;26.53;27.16;27.34;27.16;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:24;21.58;21.57;26.86;26.85;27.4;26.76;27.07;27.07;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:25;21.43;29.26;27.12;26.35;27.16;26.69;26.73;26.54;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:26;19.83;22.77;26.04;25.93;27.33;26.71;27.37;27.32;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:27;26.24;26.23;25.99;25.99;27.03;27.03;26.99;26.98;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:28;20.89;20.88;25.74;25.73;27.41;27.4;27.07;27.07;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:29;27.13;23.28;26.05;25.47;26.58;26.57;27.38;26.81;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:30;26.76;26.75;26.35;25.55;27.01;26.41;26.72;27.33;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:31;20.73;20.73;27.04;27.04;27.36;26.79;26.75;26.88;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:32;21.48;28.91;26.9;26.56;27.13;26.65;26.92;26.52;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:33;20.5;20.49;25.79;25.79;27.38;26.62;27.43;27.37;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:34;29.74;25.68;25.96;26.21;27.24;27.24;26.96;26.95;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:35;21.36;21.35;25.92;25.92;27.09;27.09;27.14;27.14;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:36;25.93;27.09;25.94;25.11;26.99;26.4;26.97;27.27;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:37;21.52;21.51;26.99;25.63;27.53;26.77;26.61;27.01;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:38;19.83;27.73;26.73;25.93;27.09;26.62;26.91;26.73;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:39;28.49;20.91;25.96;25.95;27.21;27.2;27.2;27.19;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:41;28.5;22.32;26.46;26.93;26.54;27.29;26.54;26.64;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:43;24.1;24.1;26.61;26.61;27.37;27.36;26.75;27.26;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:45;28.78;21.17;25.17;25.71;27.23;27.23;27.41;27.4;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:46;27.58;23.95;26.15;26.56;26.95;27.43;27.22;26.79;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:47;27.54;27.53;26.11;26.11;26.61;26.89;26.81;27.34;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:48;24.49;21.47;26.44;26.16;27.24;27.03;26.89;27.29;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:49;27.33;27.33;25.74;25.74;26.91;26.91;27.06;27.05;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
2025-05-20 22:47:50;21.15;28.26;26.31;26.32;27.04;26.48;27.18;26.67;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0
